iter	Passed	Remaining
0	20	7257
1	39	6926
2	59	6882
3	76	6628
4	94	6535
5	112	6466
6	129	6332
7	146	6279
8	165	6275
9	185	6293
10	201	6213
11	217	6112
12	233	6045
13	247	5936
14	264	5912
15	283	5922
16	302	5918
17	319	5885
18	336	5869
19	352	5814
20	369	5783
21	387	5772
22	404	5750
23	421	5721
24	435	5665
25	452	5634
26	469	5618
27	487	5610
28	509	5635
29	526	5616
30	544	5605
31	561	5576
32	578	5558
33	595	5539
34	611	5501
35	629	5494
36	648	5482
37	666	5468
38	681	5433
39	698	5417
40	714	5381
41	732	5369
42	749	5350
43	765	5325
44	782	5303
45	801	5294
46	817	5267
47	835	5257
48	853	5244
49	873	5240
50	889	5217
51	908	5205
52	925	5183
53	942	5165
54	959	5145
55	977	5130
56	994	5113
57	1012	5099
58	1029	5078
59	1045	5054
60	1063	5038
61	1080	5018
62	1099	5007
63	1117	4993
64	1136	4983
65	1157	4981
66	1178	4975
67	1195	4958
68	1214	4944
69	1229	4917
70	1248	4905
71	1266	4891
72	1283	4871
73	1299	4847
74	1317	4831
75	1333	4807
76	1349	4783
77	1364	4756
78	1383	4746
79	1401	4730
80	1419	4714
81	1439	4703
82	1455	4682
83	1474	4669
84	1492	4651
85	1513	4645
86	1531	4630
87	1549	4613
88	1566	4594
89	1581	4567
90	1599	4551
91	1615	4530
92	1630	4506
93	1649	4491
94	1666	4474
95	1688	4467
96	1710	4460
97	1728	4445
98	1749	4435
99	1770	4425
100	1789	4411
101	1808	4397
102	1828	4384
103	1847	4369
104	1864	4349
105	1879	4325
106	1898	4311
107	1916	4293
108	1935	4278
109	1950	4254
110	1966	4233
111	1984	4216
112	2001	4198
113	2020	4183
114	2040	4169
115	2059	4155
116	2078	4138
117	2097	4124
118	2113	4102
119	2135	4093
120	2153	4075
121	2173	4062
122	2195	4051
123	2216	4039
124	2232	4017
125	2249	3999
126	2265	3977
127	2282	3958
128	2301	3942
129	2320	3927
130	2338	3908
131	2356	3891
132	2373	3872
133	2388	3849
134	2405	3831
135	2421	3809
136	2437	3790
137	2455	3771
138	2472	3752
139	2491	3737
140	2511	3722
141	2536	3715
142	2557	3701
143	2577	3687
144	2596	3671
145	2614	3653
146	2633	3636
147	2652	3619
148	2667	3597
149	2682	3576
150	2699	3557
151	2717	3540
152	2735	3522
153	2752	3502
154	2770	3485
155	2787	3466
156	2806	3449
157	2822	3430
158	2842	3414
159	2861	3398
160	2884	3386
161	2907	3374
162	2931	3362
163	2955	3352
164	2979	3340
165	3002	3328
166	3020	3310
167	3043	3297
168	3060	3278
169	3080	3261
170	3098	3243
171	3118	3227
172	3138	3211
173	3157	3193
174	3175	3175
175	3193	3157
176	3212	3140
177	3229	3120
178	3245	3099
179	3259	3078
180	3274	3057
181	3292	3039
182	3308	3018
183	3324	2999
184	3341	2980
185	3356	2959
186	3371	2938
187	3386	2918
188	3411	2906
189	3429	2888
190	3448	2870
191	3463	2850
192	3482	2832
193	3504	2818
194	3524	2801
195	3540	2782
196	3562	2766
197	3578	2747
198	3601	2732
199	3627	2720
200	3649	2705
201	3673	2691
202	3696	2676
203	3717	2660
204	3737	2643
205	3759	2627
206	3777	2609
207	3796	2591
208	3817	2575
209	3839	2559
210	3865	2546
211	3888	2531
212	3912	2516
213	3938	2503
214	3959	2486
215	3986	2473
216	4013	2459
217	4037	2444
218	4052	2424
219	4069	2404
220	4110	2399
221	4175	2407
222	4247	2419
223	4277	2406
224	4300	2389
225	4319	2370
226	4357	2361
227	4378	2342
228	4401	2325
229	4424	2308
230	4444	2289
231	4469	2273
232	4492	2255
233	4516	2238
234	4535	2219
235	4553	2199
236	4568	2178
237	4583	2156
238	4603	2138
239	4631	2122
240	4664	2109
241	4688	2092
242	4703	2071
243	4722	2051
244	4740	2031
245	4758	2011
246	4782	1994
247	4800	1974
248	4824	1956
249	4842	1937
250	4862	1917
251	4883	1899
252	4906	1880
253	4922	1860
254	4941	1840
255	4963	1822
256	4981	1802
257	4999	1782
258	5017	1762
259	5037	1743
260	5054	1723
261	5073	1704
262	5091	1684
263	5106	1663
264	5125	1643
265	5145	1625
266	5164	1605
267	5184	1586
268	5203	1566
269	5221	1547
270	5239	1527
271	5259	1508
272	5281	1489
273	5307	1472
274	5332	1454
275	5351	1434
276	5374	1416
277	5390	1395
278	5406	1375
279	5421	1355
280	5438	1335
281	5451	1314
282	5468	1294
283	5485	1274
284	5502	1254
285	5519	1235
286	5596	1228
287	5620	1209
288	5636	1189
289	5654	1169
290	5670	1149
291	5689	1130
292	5707	1110
293	5725	1090
294	5774	1076
295	5799	1057
296	5817	1038
297	5835	1018
298	5857	999
299	5872	978
300	5889	958
301	5903	938
302	5920	918
303	5973	903
304	5999	885
305	6014	864
306	6028	844
307	6043	824
308	6060	804
309	6077	784
310	6091	763
311	6107	743
312	6135	725
313	6175	708
314	6196	688
315	6211	668
316	6233	648
317	6272	631
318	6297	612
319	6314	592
320	6341	572
321	6389	555
322	6408	535
323	6427	515
324	6442	495
325	6461	475
326	6481	455
327	6500	435
328	6515	415
329	6534	396
330	6558	376
331	6599	357
332	6618	337
333	6638	318
334	6658	298
335	6677	278
336	6697	258
337	6712	238
338	6730	218
339	6749	198
340	6772	178
341	6789	158
342	6808	138
343	6855	119
344	6876	99
345	6892	79
346	6909	59
347	6928	39
348	6945	19
349	6962	0
